,Suburb,Latitude,Longitude
473,PADSTOW HEIGHTS,-33.9704029,151.0330262
474,PAGEWOOD,-33.936838,151.2216943
475,PALM BEACH,12.5688981,-70.0423651
476,PANANIA,-33.9532567,150.9968874
477,PARKLEA,55.785716550000004,-4.2325711499337375
478,PARRAMATTA,-33.806969699999996,151.02136251722922
479,PEAKHURST,-33.9616444,151.0590667
480,PEAKHURST HEIGHTS,-33.9768872,151.0544039
481,PEMULWUY,-33.8164641,150.9284441
482,PENDLE HILL,-33.7983305,150.959439
483,PENNANT HILLS,-33.7379225,151.0725562
484,PENRITH,-33.7510792,150.6941684
485,PENSHURST,51.1612732,0.17662674124623903
486,PETERSHAM,51.4436913,-0.3052934
487,PHILLIP BAY,-33.9787887,151.2327229
488,PICNIC POINT,-33.9709556,151.0072387
489,PITT TOWN,-33.5846533,150.8709805
490,PLEASURE POINT,-33.9725,150.9877778
491,PLUMPTON,50.92332315,-0.06525685126144444
492,POINT PIPER,-33.8676276,151.2515727
493,PORT BOTANY,-33.9734678,151.2178519
494,PORT HACKING,-34.0676607,151.1234522
495,POTTS HILL,-33.8922191,151.0329222
496,POTTS POINT,-35.8198883,145.1130358
497,PRAIRIEWOOD,-33.8631743,150.9055074
498,PRESTONS,-33.9415149,150.8747464
499,PROSPECT,39.6280949,-105.0445707
500,PUNCHBOWL,-33.928717,151.0522591
501,PUTNEY,51.4625524,-0.2167462
502,PYMBLE,-33.7450185,151.1424708
503,PYRMONT,-33.8692145,151.1923633
504,QUAKERS HILL,-33.7344444,150.8788889
505,QUEENS PARK,53.4883581,-1.1896171
506,QUEENSCLIFF,-33.7823916,151.2854011
507,RABY,-34.0233333,150.8177778
508,RAMSGATE,51.3334726,1.4196476
509,RAMSGATE BEACH,-33.9824013,151.1461479
510,RANDWICK,-33.94585945,151.24275411853012
511,REDFERN,-33.8931044,151.2040292
512,REGENTS PARK,29.5586213,-95.1142729
513,REGENTVILLE,-33.7708351,150.6616622
514,REVESBY,-33.9436876,151.0137191
515,REVESBY HEIGHTS,-33.9683842,151.0189891
516,RHODES,48.7579899,6.8988106
517,RICHMOND,-33.6009721,150.7496405
518,RIVERSTONE,-33.6797545,150.8616695
519,RIVERVIEW,-33.79572855,149.91968276350326
520,RIVERWOOD,-33.9472222,151.0530556
521,ROCKDALE,30.6549433,-97.0058245
522,RODD POINT,-33.8658359,151.143583
523,ROOKWOOD,-33.8737017,151.0552971
524,ROOTY HILL,-33.7688649,150.8411802
525,ROPES CROSSING,-33.7291948,150.7788889
526,ROSE BAY,-33.8660695,151.2633104
527,ROSEBERY,-33.9185861,151.204692
528,ROSEHILL,-33.8263889,151.0305556
529,ROSELANDS,-33.9339943,151.0765121
530,ROSEMEADOW,-34.1066667,150.7927778
531,ROSEVILLE,38.7521235,-121.2880059
532,ROSEVILLE CHASE,-33.7747222,151.2002778
533,ROSSMORE,-33.9483365,150.7677747
534,ROUSE HILL,-33.6774941,150.9160933
535,ROYAL NATIONAL PARK,-34.11219955,151.02672688004589
536,ROZELLE,-33.8645002,151.1743543
537,RUSE,-34.0733174,150.8463325
538,RUSHCUTTERS BAY,-33.8750365,151.2276557
539,RUSSELL LEA,-33.8585361,151.1416007
540,RYDALMERE,-33.8117088,151.0411702
541,RYDE,-33.801575099999994,151.1046183940153
542,SACKVILLE NORTH,-33.4816597,150.8844376
543,SADLEIR,-33.9169444,150.8902778
544,SANDRINGHAM,48.6663901,-53.8230285
545,SANDY POINT,-33.975407,150.9939195
546,SANS SOUCI,34.890741500000004,-82.42334184713499
547,SCARBOROUGH,54.2820009,-0.4011868
548,SCHOFIELDS,-33.6971603,150.8711915
549,SCOTLAND ISLAND,-33.6397464,151.2911746
550,SEAFORTH,44.4771797,-95.3263923
551,SEFTON,-33.8873088,151.0106256
552,SEVEN HILLS,41.3953304,-81.6762392
553,SHALVEY,-33.7277778,150.8066667
554,SHANES PARK,-33.7075,150.7916667
555,SILVERWATER,-33.834881,151.0471218
556,SINGLETONS MILL,-33.4648101,151.0738545
557,SMEATON GRANGE,-34.0340877,150.7553777
558,SMITHFIELD,-33.8478215,150.9408736
559,SOUTH COOGEE,-33.9322056,151.2539567
560,SOUTH GRANVILLE,-33.8577778,151.0105556
561,SOUTH HURSTVILLE,-33.9777213,151.1060554
562,SOUTH MAROOTA,-33.5127778,150.9522222
563,SOUTH PENRITH,-33.772521,150.6982616
564,SOUTH TURRAMURRA,-33.7510951,151.1084667
565,SOUTH WENTWORTHVILLE,-33.82134,150.9687481
566,SOUTH WINDSOR,-33.6302778,150.8041667
567,SPRING FARM,51.2838814,-2.6544059
568,ST ANDREWS,-34.0208333,150.8305556
569,ST CLAIR,-33.7983333,150.7844444
570,ST HELENS PARK,-34.1066667,150.8094444
571,ST IVES,50.2148928,-5.4795574
572,ST IVES CHASE,-33.7030556,151.1652778
573,ST JOHNS PARK,30.2838506,-81.7153751
574,ST LEONARDS,-33.8225666,151.1923402
575,ST MARYS,-33.7650204,150.7677778
576,ST PETERS,-33.9159472,151.176332
577,STANHOPE GARDENS,-33.710284,150.9258277
578,STANMORE,51.6174205,-0.3095111
